Logo,Company,Industry
https://upload.wikimedia.org/wikipedia/en/7/70/Company_logo_for_Maxim_Integrated.jpg,Maxim Integrated,Technology - Hardware
https://upload.wikimedia.org/wikipedia/commons/e/e2/McKinsey_and_Company_Logo_1.svg,"McKinsey & Company, Inc.",Consulting
https://upload.wikimedia.org/wikipedia/en/d/db/Mead_Johnson_logo.png,Mead Johnson Nutritionals,Food/Beverage/Tobacco
https://upload.wikimedia.org/wikipedia/commons/9/96/Microsoft_logo_%282012%29.svg,Microsoft Corporation,Technology - Software
https://upload.wikimedia.org/wikipedia/en/4/4e/MillerCoors_Logo.svg,MillerCoors,Food/Beverage/Tobacco
https://image-store.slidesharecdn.com/260e4270-ceb7-4104-b286-1cf1549fbb04-original.png,Moelis & Company LLC ,Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/commons/3/34/Morgan_Stanley_Logo_1.svg,Morgan Stanley,Financial Services - Investment Banking/Brokerage
https://media.licdn.com/media/AAEAAQAAAAAAAAODAAAAJDQyMDY3MDdlLWFkNGItNDM0My04ZjdlLTk4NGY1OTNiMjU2Nw.png,"MTS Health Partners, L.P.",Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/en/0/07/NBALogo.svg,National Basketball Association,Recreation/Leisure/Sports
https://upload.wikimedia.org/wikipedia/en/1/1c/Nationwide_Mutual_Insurance_Company_logo.svg,Nationwide,Financial Services - Insurance
https://upload.wikimedia.org/wikipedia/en/d/d8/Nestl%C3%A9.svg,"Nestle USA, Inc.",Food/Beverage/Tobacco
https://upload.wikimedia.org/wikipedia/en/7/76/NextEra_Energy_logo.jpg,"NextEra Energy, Inc.",Energy/Petroleum
https://upload.wikimedia.org/wikipedia/commons/a/a6/Logo_NIKE.svg,"NIKE, Inc.",Retail
https://originventures.com/dev2016/wp-content/uploads/2015/02/NewLogo_blue_stacked.png,Origin Ventures LLC,Financial Services - Venture Capital
https://upload.wikimedia.org/wikipedia/en/0/06/PAAMCO_Wikipedia_Logo.png,"Pacific Alternative Asset Management Company, LLC ",Financial Services - Investment Management/Research
https://upload.wikimedia.org/wikipedia/en/b/bf/Pepsico_logo.svg,"Pepsico, Inc.",Food/Beverage/Tobacco
https://upload.wikimedia.org/wikipedia/en/6/6e/Perella_Weinberg_Partners_logo.svg,Perella Weinberg Partners LP,Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/commons/e/e3/Pfizer.svg,"Pfizer, Inc.",Pharmaceutical Products
https://upload.wikimedia.org/wikipedia/commons/4/49/PIMCO_Logo.svg,PIMCO,Financial Services - Investment Management/Research
https://upload.wikimedia.org/wikipedia/commons/e/e8/PJT_Logo.png,PJT Partners,Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/commons/f/ff/Procter_and_Gamble_Logo.svg,Procter & Gamble Co.,Consumer Products
https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAkyAAAAJDM4MDY5MGJhLTk0NTQtNDkzMS04NDc2LTk5M2JjMjA4MjlkMg.png,"Promecap, S.C",Financial Services - Private Equity
https://www.prophet.com/sites/strongbrands/img/img_video_cover.jpg,Prophet,Consulting
https://upload.wikimedia.org/wikipedia/commons/e/e2/Strategyand-logo.gif,PwC Strategy&,Consulting
https://media.glassdoor.com/sqll/305644/qvt-financial-squarelogo-1429789230683.png,QVT Financial LP,Financial Services - Investment Management/Research
https://upload.wikimedia.org/wikipedia/en/d/d0/Roland_Berger_new_logo.png,Roland Berger Strategy Consultants GmbH,Consulting
https://upload.wikimedia.org/wikipedia/en/e/e8/Shell_logo.svg,Royal Dutch Shell Plc,Energy/Petroleum
http://www.russellreynolds.com/_layouts/15/images/rra.com/russellreynolds.png,"Russell Reynolds Associates, Inc.",Employment/Executive Search
https://upload.wikimedia.org/wikipedia/commons/6/6a/Falabella.svg,S.A.C.I. Falabella,Retail
https://upload.wikimedia.org/wikipedia/commons/b/b9/Slack_Technologies_Logo.svg,"Slack Technologies, Inc.",Marketing - Other
https://upload.wikimedia.org/wikipedia/commons/e/e4/T._Rowe_Price_Logo_2017.png,"T. Rowe Price Associates, Inc.",Financial Services - Investment Management/Research
https://upload.wikimedia.org/wikipedia/commons/1/18/Logo_Takeda.svg,"Takeda Pharmaceuticals North America, Inc.",Pharmaceutical Products
https://upload.wikimedia.org/wikipedia/commons/2/22/Tencent_Logo.svg,Tencent Holdings Ltd,eCommerce and Internet
https://upload.wikimedia.org/wikipedia/commons/0/0f/The_Boston_Consulting_Group_logo.png,"The Boston Consulting Group, Inc.",Consulting
